,Query,AvgTime,Records
0,query9,0.023252,1631
1,query8,0.1233,16138
2,query7,0.121832,16138
3,query6,0.021395,7
4,query5,0.008671,0
5,query4,0.014492,3
6,query3,0.055165,6278
7,query2,0.132822,100
8,query14,0.066406,22
9,query13,0.020783,23
10,query12,0.069746,2
11,query11,1.357383,1
12,query10,0.521721,1
13,query1,0.021196,1
