,Query,AvgTime,Records
0,query9,0.036333899999999995,1631
1,query8b,0.030268399999999994,908
2,query8a,0.07752509999999999,5370
3,query7,0.2949313,16138
4,query6,0.0224818,7
5,query5,0.008472799999999999,0
6,query4,0.0152294,3
7,query3,0.13348540000000003,6278
8,query2,0.1397676,100
9,query14,0.058988799999999994,22
10,query13,0.020586199999999992,23
11,query12,0.0511746,2
12,query11,1.3000114999999999,1
13,query10,0.4518897,1
14,query1,0.26663939999999997,30829
